report_id,ticker,company_name,title,report_type,broker,source_platform,published_at,published_at_raw,analyst,recommendation,recommendation_raw,target_price,target_price_currency,current_price,upside_percent,valuation_methods,source_page_url,canonical_source_url,mirror_urls,pdf_url,local_pdf_path,pdf_hash,extracted_text_path,content_hash,page_count,language,crawled_at,status,validation_notes
bvs_fpt_7f4204f4008a,"[""FPT""]",Công ty Cổ phần FPT,"FPT: Khuyến nghị OUTPERFORM với giá mục tiêu 94,500 đồng/cổ phiếu",EARNINGS_UPDATE,BVS,Vietstock eDocs,2026-06-26T00:00:00+07:00,26/06/2026,"[""Trương Sỹ Phú, CFA""]",OUTPERFORM,OUTPERFORM,12.0,VND,,,"[""DCF"", ""P_E""]",https://edocs.vietstock.vn/?report=21030,https://edocs.vietstock.vn/?report=21030,[],https://static1.vietstock.vn/edocs/21030/BVSC_Bao_Cao_Cap_Nhat_FPT_6.pdf,data\pdf\FPT\BVS_FPT_2026-06-26_68a230af.pdf,68a230afd7bef1bccc800f5808c87b2c8867d43364bcc156713b83ba95d9ef36,data\extracted\FPT\BVS_FPT_2026-06-26_68a230af.txt,372cb18b9e92dffca7b34c838a0ed44fa34678ca1d440dc4dc4351bfd746b7ac,13,vi,2026-07-29T22:15:38.655719+07:00,accepted,"[""positive_alias:Công ty Cổ phần FPT,cổ phiếu FPT"", ""ticker_repeated""]"
fpts_fpt_8193b464bdf8,"[""FPT""]",Công ty Cổ phần FPT,"FPT: Khuyến nghị MUA với giá mục tiêu 95,400 đồng/cổ phiếu",COMPANY_REPORT,FPTS,Vietstock eDocs,2026-06-19T00:00:00+07:00,19/06/2026,"[""cơ bản""]",ACCUMULATE,TÍCH LŨY,95400.0,VND,71500.0,,"[""DCF"", ""P_E"", ""SOTP""]",https://edocs.vietstock.vn/?report=20908,https://edocs.vietstock.vn/?report=20908,"[""https://edocs.vietstock.vn/?report=20806"", ""https://edocs.vietstock.vn/?report=20690""]",https://static1.vietstock.vn/edocs/20908/FPTValuationReportJun26_3327bc61.pdf,data\pdf\FPT\FPTS_FPT_2026-06-19_f31b040e.pdf,f31b040e16015918b9662672035b735696d0ff8f01fab50b17801d2d4a469103,data\extracted\FPT\FPTS_FPT_2026-06-19_f31b040e.txt,137e87f83f0a03fb47ececbcd60497e178cee3b5fe1a140edda9dc661c4a04d1,30,vi,2026-07-29T22:15:41.084214+07:00,accepted,"[""positive_alias:cổ phiếu FPT"", ""ticker_repeated""]"
