report_id,ticker,company_name,title,report_type,broker,source_platform,published_at,published_at_raw,analyst,recommendation,recommendation_raw,target_price,target_price_currency,current_price,upside_percent,valuation_methods,source_page_url,canonical_source_url,mirror_urls,pdf_url,local_pdf_path,pdf_hash,extracted_text_path,content_hash,page_count,language,crawled_at,status,validation_notes
bvs_fpt_7f4204f4008a,"[""FPT""]",Công ty Cổ phần FPT,"FPT: Khuyến nghị OUTPERFORM với giá mục tiêu 94,500 đồng/cổ phiếu",EARNINGS_UPDATE,BVS,Vietstock eDocs,2026-06-26T00:00:00+07:00,26/06/2026,"[""Trương Sỹ Phú, CFA""]",OUTPERFORM,OUTPERFORM,94500.0,VND,,,"[""DCF"", ""P_E""]",https://edocs.vietstock.vn/?report=21030,https://edocs.vietstock.vn/?report=21030,[],https://static1.vietstock.vn/edocs/21030/BVSC_Bao_Cao_Cap_Nhat_FPT_6.pdf,data\pdf\FPT\BVS_FPT_2026-06-26_68a230af.pdf,68a230afd7bef1bccc800f5808c87b2c8867d43364bcc156713b83ba95d9ef36,data\extracted\FPT\BVS_FPT_2026-06-26_68a230af.txt,372cb18b9e92dffca7b34c838a0ed44fa34678ca1d440dc4dc4351bfd746b7ac,13,vi,2026-07-29T22:21:59.294766+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Công ty Cổ phần FPT,cổ phiếu FPT"", ""ticker_repeated""]"
fpts_fpt_8193b464bdf8,"[""FPT""]",Công ty Cổ phần FPT,"FPT: Khuyến nghị MUA với giá mục tiêu 95,400 đồng/cổ phiếu",COMPANY_REPORT,FPTS,Vietstock eDocs,2026-06-19T00:00:00+07:00,19/06/2026,"[""cơ bản""]",BUY,MUA,95400.0,VND,71500.0,,"[""DCF"", ""P_E"", ""SOTP""]",https://edocs.vietstock.vn/?report=20908,https://edocs.vietstock.vn/?report=20908,[],https://static1.vietstock.vn/edocs/20908/FPTValuationReportJun26_3327bc61.pdf,data\pdf\FPT\FPTS_FPT_2026-06-19_f31b040e.pdf,f31b040e16015918b9662672035b735696d0ff8f01fab50b17801d2d4a469103,data\extracted\FPT\FPTS_FPT_2026-06-19_f31b040e.txt,137e87f83f0a03fb47ececbcd60497e178cee3b5fe1a140edda9dc661c4a04d1,30,vi,2026-07-29T22:22:03.915794+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:cổ phiếu FPT"", ""ticker_repeated""]"
vietcap_fpt_495013f58ad5,"[""FPT""]",Công ty Cổ phần FPT,"FPT: Khuyến nghị MUA với giá mục tiêu 90,300 đồng/cổ phiếu",COMPANY_REPORT,Vietcap,Vietstock eDocs,2026-06-12T00:00:00+07:00,12/06/2026,[],BUY,MUA,90300.0,VND,75000.0,,"[""P_E"", ""P_B"", ""EV_EBITDA"", ""SOTP""]",https://edocs.vietstock.vn/?report=20806,https://edocs.vietstock.vn/?report=20806,[],https://static1.vietstock.vn/edocs/20806/FPT_20260605_MUA.pdf,data\pdf\FPT\Vietcap_FPT_2026-06-12_5c6e13e6.pdf,5c6e13e65cec18d4828ac7a58215a165a8e90ca7b2bf28d9a01e28833f100810,data\extracted\FPT\Vietcap_FPT_2026-06-12_5c6e13e6.txt,d0f4229bd5aab56043b68fb623b8b0872206229661a5eff99c152a1113266c4b,13,vi,2026-07-29T22:22:07.858451+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated""]"
kbsv_fpt_8805c08ccc40,"[""FPT""]",Công ty Cổ phần FPT,"FPT: Khuyến nghị MUA với giá mục tiêu 103,800 đồng/cổ phiếu",COMPANY_REPORT,KBSV,Vietstock eDocs,2026-06-08T00:00:00+07:00,08/06/2026,"[""Nguyễn Việt Anh""]",BUY,MUA,103800.0,VND,72900.0,42.4,"[""DCF"", ""P_E"", ""P_B"", ""EV_EBITDA""]",https://edocs.vietstock.vn/?report=20690,https://edocs.vietstock.vn/?report=20690,[],https://static1.vietstock.vn/edocs/20690/KBSV_Baocaocapnhat_FPT_20260608.pdf,data\pdf\FPT\KBSV_FPT_2026-06-08_ceef413e.pdf,ceef413e6674e8b4baf67b3715632c7cbf0d373e6d124feab8ac1e21b3dad07b,data\extracted\FPT\KBSV_FPT_2026-06-08_ceef413e.txt,1484a73ee73a8380822fb7967be7528e2168fd15b2e52bb4b063d8abfe049d53,10,vi,2026-07-29T22:22:12.000264+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Tập đoàn FPT,cổ phiếu FPT"", ""ticker_repeated""]"
